,Half scale,Double scale,Base scale,Policy
222,60000.0,60000.0,60000.0,Min-Min
223,60000.0,60000.0,60000.0,Min-Min
224,251762.0,251448.0,251839.0,Min-Min
225,60000.0,78174.0,60000.0,Min-Min
226,60000.0,60000.0,60000.0,Min-Min
227,60000.0,60000.0,60000.0,Min-Min
228,251834.0,60000.0,60000.0,Min-Min
229,60000.0,60000.0,60000.0,Min-Min
230,60000.0,60000.0,60000.0,Min-Min
231,60000.0,60000.0,60000.0,Min-Min
232,251455.0,60000.0,251820.0,Min-Min
233,60000.0,60000.0,60000.0,Min-Min
234,60000.0,60000.0,59999.0,Min-Min
235,60000.0,60000.0,60000.0,Min-Min
236,251713.0,60000.0,60000.0,Min-Min
237,60000.0,60000.0,60000.0,Min-Min
238,60000.0,60000.0,60000.0,Min-Min
239,60000.0,60000.0,60000.0,Min-Min
240,251895.0,249316.0,251717.0,Min-Min
241,60000.0,60000.0,60000.0,Min-Min
242,60000.0,60000.0,60000.0,Min-Min
243,60000.0,60000.0,60000.0,Min-Min
244,251781.0,60000.0,60000.0,Min-Min
245,60000.0,60000.0,60000.0,Min-Min
246,60000.0,60000.0,60000.0,Min-Min
247,60000.0,60000.0,60000.0,Min-Min
248,251847.0,60000.0,251824.0,Min-Min
249,60000.0,60000.0,60000.0,Min-Min
250,60000.0,60000.0,60000.0,Min-Min
251,60000.0,60000.0,60000.0,Min-Min
252,251761.0,60000.0,60000.0,Min-Min
253,60000.0,60000.0,60000.0,Min-Min
254,60000.0,60000.0,60000.0,Min-Min
255,60000.0,60000.0,60000.0,Min-Min
256,230716.0,251063.0,251835.0,Min-Min
257,60000.0,60000.0,60000.0,Min-Min
258,60000.0,59999.0,60000.0,Min-Min
259,60000.0,60000.0,60000.0,Min-Min
260,76268.0925,76268.0925,76268.0925,ELOP
261,85015.6875,85015.6875,85015.6875,ELOP
262,60474.490000000005,82247.7825,66377.6475,ELOP
263,76145.645,66433.7675,79627.83750000001,ELOP
264,73839.23749999999,72816.515,66398.055,ELOP
265,83640.2575,63579.1275,66408.2575,ELOP
266,60000.0,79500.2875,60474.490000000005,ELOP
267,74829.03250000002,66546.015,76145.645,ELOP
268,70668.01500000001,66316.4225,73839.23749999999,ELOP
269,77510.10500000001,66530.70749999999,83640.2575,ELOP
270,59999.99999999999,66377.6475,66000.00000000001,ELOP
271,69831.53749999998,79627.83750000001,78000.00000000001,ELOP
272,69393.00499999998,66398.055,66000.0,ELOP
273,72762.09500000006,66408.2575,66000.0,ELOP
274,60000.0,60474.490000000005,60000.0,ELOP
275,65999.99999999997,76145.645,74829.03250000002,ELOP
276,69216.6825,73839.23749999999,70668.01500000001,ELOP
277,72596.78000000003,83640.2575,77510.10500000001,ELOP
278,60000.0,79630.05249999999,64244.95249999999,ELOP
279,66000.0,66000.00000000001,75826.435,ELOP
280,68892.08999999997,69793.32000000002,63084.13500000001,ELOP
281,72000.0,63000.00000000001,63007.60500000001,ELOP
282,60000.0,74846.8425,59999.99999999999,ELOP
283,63760.107499999984,66000.00000000001,69831.53749999998,ELOP
284,70120.20750000008,65999.99999999999,69393.00499999998,ELOP
285,67964.6474999999,66000.0,72762.09500000006,ELOP
286,61173.25750000001,66000.00000000001,63000.0,ELOP
287,60000.0,78000.00000000001,69498.20749999996,ELOP
288,66000.00000000006,66000.0,63000.0,ELOP
289,66000.0,66000.0,62999.3375,ELOP
290,66000.0,60000.0,60000.0,ELOP
291,60000.00000000006,74829.03250000002,65999.99999999997,ELOP
292,64571.78999999992,70668.01500000001,69216.6825,ELOP
293,65701.63500000001,77510.10500000001,72596.78000000003,ELOP
294,65625.10500000004,74324.4425,62999.99999999997,ELOP
295,60000.0,64997.4,69302.76500000001,ELOP
296,66054.33500000008,67915.76749999999,63174.48499999999,ELOP
297,63000.0,60925.97249999997,63197.08999999997,ELOP
